# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
77 8.774964 0.122189 -0.114152 768000 0
78 8.831761 0.117570 -0.098740 384000 0
80 8.944272 0.138200 -0.160667 192000 0

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 256
1 1.000000 0.850729 -0.006198 48000 256
2 1.414214 0.823621 -0.004401 96000 256
3 1.732051 0.812382 -0.003915 64000 256
4 2.000000 0.814146 -0.006292 48000 256
5 2.236068 0.806383 -0.004944 192000 256
6 2.449490 0.802238 -0.003765 192000 256
8 2.828427 0.799004 -0.003698 96000 256
9 3.000000 0.797331 -0.003757 240000 256
10 3.162278 0.797422 -0.005968 192000 256
11 3.316625 0.795932 -0.004425 192000 256
12 3.464102 0.794558 -0.002175 64000 256
13 3.605551 0.794175 -0.003313 192000 256
14 3.741657 0.792649 -0.002769 384000 256
16 4.000000 0.793516 -0.006657 48000 256
17 4.123106 0.791753 -0.003820 384000 256
18 4.242641 0.791417 -0.003937 288000 256
19 4.358899 0.790503 -0.002451 192000 256
20 4.472136 0.790155 -0.004125 192000 256
21 4.582576 0.789843 -0.003125 384000 256
22 4.690416 0.789145 -0.001388 192000 256
24 4.898979 0.788984 -0.002437 192000 256
25 5.000000 0.788828 -0.004197 240000 256
26 5.099020 0.788769 -0.004121 576000 256
27 5.196152 0.788763 -0.003957 256000 256
29 5.385165 0.788174 -0.002400 576000 256
30 5.477226 0.788211 -0.003942 384000 256
32 5.656854 0.787930 -0.001723 96000 256
33 5.744563 0.787234 -0.002129 384000 256
34 5.830952 0.786802 -0.001789 384000 256
35 5.916080 0.786565 -0.002724 384000 256
36 6.000000 0.787802 -0.002046 240000 256
37 6.082763 0.788184 -0.006091 192000 256
38 6.164414 0.786856 -0.003132 576000 256
40 6.324555 0.786765 -0.004955 192000 256
41 6.403124 0.786481 -0.002518 768000 256
42 6.480741 0.786382 -0.001208 384000 256
43 6.557439 0.786132 -0.001688 192000 256
44 6.633250 0.786129 -0.003127 192000 256
45 6.708204 0.785883 -0.001985 576000 256
46 6.782330 0.785923 -0.002736 384000 256
48 6.928203 0.784742 0.000153 64000 256
49 7.000000 0.785506 -0.002254 432000 256
50 7.071068 0.785267 -0.001935 672000 256
51 7.141428 0.785570 -0.002481 384000 256
52 7.211103 0.785526 -0.001384 192000 256
53 7.280110 0.786130 -0.001963 576000 256
54 7.348469 0.785762 -0.002686 768000 256
56 7.483315 0.785110 -0.001118 384000 256
57 7.549834 0.784650 -0.002012 384000 256
58 7.615773 0.784896 -0.002255 192000 256
59 7.681146 0.785081 -0.001844 576000 256
61 7.810250 0.784663 -0.000866 576000 256
62 7.874008 0.785149 -0.000920 768000 256
64 8.000000 0.785617 -0.006449 48000 256
65 8.062258 0.784939 -0.002048 768000 256
66 8.124038 0.784836 -0.001834 768000 256
67 8.185353 0.784573 -0.002578 192000 256
68 8.246211 0.784539 -0.002595 384000 256
69 8.306624 0.784932 -0.003043 768000 256
70 8.366600 0.783684 -0.000876 384000 256
72 8.485281 0.784651 -0.002579 288000 256
73 8.544004 0.784197 -0.001568 384000 256
74 8.602325 0.784207 -0.002407 960000 256
75 8.660254 0.783732 -0.000595 448000 256
76 8.717798 0.785024 -0.000668 192000 256
77 8.774964 0.783727 -0.001805 768000 256
78 8.831761 0.783893 -0.001279 384000 256
80 8.944272 0.783015 -0.001876 192000 256

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 128
1 1.000000 0.928161 -0.002493 48000 128
2 1.414214 0.915254 -0.002073 96000 128
3 1.732051 0.909598 -0.002778 64000 128
4 2.000000 0.909753 -0.002492 48000 128
5 2.236068 0.906269 -0.002502 192000 128
