# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 0
1 1.000000 -0.203554 -1.182049 48000 0
2 1.414214 -0.303833 0.474591 96000 0
3 1.732051 0.643137 0.003815 64000 0
4 2.000000 0.667927 -0.263678 48000 0
5 2.236068 -0.223918 0.268199 192000 0
6 2.449490 -0.090879 -0.353884 192000 0
8 2.828427 0.436269 -0.071272 96000 0
9 3.000000 -0.144738 -0.039816 240000 0
10 3.162278 -0.251176 0.416698 192000 0
11 3.316625 0.403996 -0.127580 192000 0
12 3.464102 0.277769 0.003598 64000 0
13 3.605551 -0.021776 -0.245009 192000 0
14 3.741657 -0.097009 0.090131 384000 0
16 4.000000 0.457117 -0.340570 48000 0
17 4.123106 -0.119011 0.151168 384000 0
18 4.242641 -0.051078 -0.240146 288000 0
19 4.358899 0.230330 -0.047803 192000 0
20 4.472136 0.292505 -0.119530 192000 0
21 4.582576 -0.155199 0.169881 384000 0
22 4.690416 -0.081007 0.041441 192000 0
24 4.898979 0.181648 -0.030429 192000 0
25 5.000000 -0.021434 -0.080915 240000 0
26 5.099020 -0.079678 0.057195 576000 0
27 5.196152 0.254746 -0.125554 256000 0
29 5.385165 -0.020725 -0.089269 576000 0
30 5.477226 -0.094732 0.172254 384000 0
32 5.656854 0.194409 -0.058647 96000 0
33 5.744563 -0.069660 -0.034107 384000 0
34 5.830952 -0.085362 0.052770 384000 0
35 5.916080 0.181889 -0.052201 384000 0
36 6.000000 0.166282 -0.069455 240000 0
37 6.082763 -0.170863 0.347896 192000 0
38 6.164414 -0.036671 -0.092859 576000 0
40 6.324555 0.241000 -0.118952 192000 0
41 6.403124 -0.075578 0.069420 768000 0
42 6.480741 -0.031068 0.019479 384000 0
43 6.557439 0.091264 -0.000328 192000 0
44 6.633250 0.159599 -0.035807 192000 0
45 6.708204 -0.036309 0.010539 576000 0
46 6.782330 -0.013339 -0.158517 384000 0
48 6.928203 0.073414 0.000216 64000 0
49 7.000000 -0.021643 -0.009089 432000 0
50 7.071068 -0.079949 0.105901 672000 0
51 7.141428 0.202743 -0.093986 384000 0
52 7.211103 0.175346 -0.046238 192000 0
53 7.280110 -0.059527 -0.036634 576000 0
54 7.348469 -0.064108 0.086463 768000 0
56 7.483315 0.117524 -0.009100 384000 0
57 7.549834 -0.021986 -0.089668 384000 0
58 7.615773 -0.117977 0.124584 192000 0
59 7.681146 0.133693 -0.034451 576000 0
61 7.810250 -0.032204 0.020795 576000 0
62 7.874008 -0.045832 -0.003804 768000 0
64 8.000000 0.283676 -0.264711 48000 0
