LOCAL ORDER: 
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
26 5.099020 0.000940 864000 512
27 5.196152 0.003811 384000 512
29 5.385165 0.000432 864000 512
30 5.477226 0.001425 576000 512
32 5.656854 -0.002087 144000 512
33 5.744563 -0.001472 576000 512
34 5.830952 -0.000777 576000 512
35 5.916080 -0.000294 576000 512
36 6.000000 -0.000602 360000 512
37 6.082763 0.002887 288000 512
38 6.164414 0.000313 864000 512
40 6.324555 0.003174 288000 512
41 6.403124 0.001791 1152000 512
42 6.480741 -0.001884 576000 512
43 6.557439 -0.000451 288000 512
44 6.633250 0.001579 288000 512
45 6.708204 -0.001131 864000 512
46 6.782330 0.000246 576000 512
48 6.928203 0.004936 96000 512
49 7.000000 -0.000028 648000 512
50 7.071068 -0.000435 1008000 512
51 7.141428 -0.001580 576000 512
52 7.211103 -0.000884 288000 512
53 7.280110 0.000522 864000 512
54 7.348469 -0.000490 1152000 512
56 7.483315 -0.001522 576000 512
57 7.549834 0.001252 576000 512
58 7.615773 -0.000774 288000 512
59 7.681146 0.000297 864000 512
61 7.810250 -0.002475 864000 512
62 7.874008 -0.000047 1152000 512
64 8.000000 0.003304 72000 512
65 8.062258 -0.000847 1152000 512
66 8.124038 0.000132 1152000 512
67 8.185353 -0.001799 288000 512
68 8.246211 -0.001531 576000 512
69 8.306624 -0.001241 1152000 512
70 8.366600 -0.001124 576000 512
72 8.485281 -0.001010 432000 512
73 8.544004 0.000638 576000 512
74 8.602325 -0.000497 1440000 512
75 8.660254 0.000771 672000 512
76 8.717798 -0.001953 288000 512
77 8.774964 -0.000847 1152000 512
78 8.831761 -0.000179 576000 512
80 8.944272 0.000826 288000 512

Moves: 1000 CageStrain: 1.000000 T: 512 Landau: 0.000198
CageStrain: 1.000000 T: 256 DMAX: 12.826013 new_DMAX: 8.338305 variance: 8.422242 mean: 1.084088
CageStrain: 1.000000 T: 256 DMAX: 8.338305 new_DMAX: 8.338305 variance: 8.422242 mean: 1.084088
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 256
1 1.000000 0.661039 72000 256
2 1.414214 0.591810 144000 256
3 1.732051 0.560068 96000 256
4 2.000000 0.552772 72000 256
5 2.236068 0.532091 288000 256
6 2.449490 0.516774 288000 256
8 2.828427 0.498541 144000 256
9 3.000000 0.489318 360000 256
10 3.162278 0.483003 288000 256
11 3.316625 0.474871 288000 256
12 3.464102 0.464181 96000 256
13 3.605551 0.459822 288000 256
14 3.741657 0.453073 576000 256
16 4.000000 0.446489 72000 256
17 4.123106 0.436365 576000 256
18 4.242641 0.431595 432000 256
19 4.358899 0.424222 288000 256
20 4.472136 0.419913 288000 256
21 4.582576 0.414876 576000 256
22 4.690416 0.406896 288000 256
24 4.898979 0.398154 288000 256
25 5.000000 0.397577 360000 256
26 5.099020 0.393221 864000 256
27 5.196152 0.389777 384000 256
29 5.385165 0.378239 864000 256
30 5.477226 0.378123 576000 256
32 5.656854 0.365863 144000 256
33 5.744563 0.362499 576000 256
34 5.830952 0.356993 576000 256
35 5.916080 0.357014 576000 256
36 6.000000 0.350991 360000 256
37 6.082763 0.361772 288000 256
38 6.164414 0.347453 864000 256
40 6.324555 0.347588 288000 256
41 6.403124 0.336183 1152000 256
42 6.480741 0.329031 576000 256
43 6.557439 0.321782 288000 256
44 6.633250 0.329652 288000 256
45 6.708204 0.319777 864000 256
46 6.782330 0.323732 576000 256
48 6.928203 0.299052 96000 256
49 7.000000 0.313073 648000 256
50 7.071068 0.306842 1008000 256
51 7.141428 0.312174 576000 256
52 7.211103 0.300957 288000 256
53 7.280110 0.303391 864000 256
54 7.348469 0.300269 1152000 256
56 7.483315 0.285491 576000 256
57 7.549834 0.284977 576000 256
58 7.615773 0.296770 288000 256
59 7.681146 0.284114 864000 256
61 7.810250 0.269101 864000 256
62 7.874008 0.274804 1152000 256
64 8.000000 0.303858 72000 256
65 8.062258 0.272130 1152000 256
66 8.124038 0.269143 1152000 256
67 8.185353 0.261158 288000 256
68 8.246211 0.265450 576000 256
69 8.306624 0.269402 1152000 256
70 8.366600 0.239370 576000 256
72 8.485281 0.263078 432000 256
73 8.544004 0.256298 576000 256
74 8.602325 0.250278 1440000 256
75 8.660254 0.238213 672000 256
76 8.717798 0.229268 288000 256
77 8.774964 0.235449 1152000 256
78 8.831761 0.229699 576000 256
80 8.944272 0.246828 288000 256

Moves: 2000 CageStrain: 1.000000 T: 256 Landau: 0.141915
CageStrain: 1.000000 T: 768 DMAX: 8.338305 new_DMAX: 7.759918 variance: 8.676144 mean: -0.309397
CageStrain: 1.000000 T: 768 DMAX: 7.759918 new_DMAX: 7.759918 variance: 8.676144 mean: -0.309397
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 768
1 1.000000 0.141944 72000 768
2 1.414214 0.040371 144000 768
3 1.732051 0.018197 96000 768
4 2.000000 0.023927 72000 768
5 2.236068 0.011366 288000 768
6 2.449490 0.007342 288000 768
8 2.828427 0.006756 144000 768
9 3.000000 0.002275 360000 768
10 3.162278 0.002889 288000 768
11 3.316625 0.001086 288000 768
12 3.464102 0.000087 96000 768
13 3.605551 0.003943 288000 768
14 3.741657 0.000336 576000 768
16 4.000000 0.000181 72000 768
17 4.123106 -0.002577 576000 768
18 4.242641 0.000101 432000 768
19 4.358899 0.000461 288000 768
20 4.472136 0.000336 288000 768
21 4.582576 -0.000820 576000 768
22 4.690416 -0.002665 288000 768
24 4.898979 -0.001126 288000 768
25 5.000000 -0.002117 360000 768
26 5.099020 -0.001828 864000 768
27 5.196152 -0.002030 384000 768
29 5.385165 -0.001097 864000 768
30 5.477226 -0.001092 576000 768
32 5.656854 0.001545 144000 768
33 5.744563 -0.000845 576000 768
34 5.830952 0.000241 576000 768
35 5.916080 -0.001264 576000 768
36 6.000000 0.000492 360000 768
37 6.082763 0.000228 288000 768
38 6.164414 -0.000360 864000 768
40 6.324555 -0.000020 288000 768
41 6.403124 0.000537 1152000 768
42 6.480741 -0.000645 576000 768
43 6.557439 0.000089 288000 768
44 6.633250 0.001294 288000 768
45 6.708204 -0.000533 864000 768
46 6.782330 0.000510 576000 768
48 6.928203 0.002555 96000 768
49 7.000000 -0.002240 648000 768
50 7.071068 -0.000872 1008000 768
51 7.141428 -0.000204 576000 768
52 7.211103 0.001370 288000 768
53 7.280110 -0.000441 864000 768
54 7.348469 0.000991 1152000 768
56 7.483315 -0.001121 576000 768
57 7.549834 0.001633 576000 768
58 7.615773 0.001406 288000 768
59 7.681146 0.000446 864000 768
61 7.810250 0.000284 864000 768
62 7.874008 -0.000310 1152000 768
64 8.000000 -0.003179 72000 768
65 8.062258 -0.000654 1152000 768
66 8.124038 0.000439 1152000 768
67 8.185353 0.002829 288000 768
68 8.246211 -0.000505 576000 768
69 8.306624 -0.000390 1152000 768
70 8.366600 -0.002656 576000 768
72 8.485281 0.000429 432000 768
73 8.544004 -0.000257 576000 768
74 8.602325 0.002088 1440000 768
75 8.660254 0.000941 672000 768
