LOCAL ORDER: 
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 576
1 1.000000 0.201625 72000 576
2 1.414214 0.076316 144000 576
3 1.732051 0.038765 96000 576
4 2.000000 0.047254 72000 576
5 2.236068 0.024053 288000 576
6 2.449490 0.013423 288000 576
8 2.828427 0.015007 144000 576
9 3.000000 0.007821 360000 576
10 3.162278 0.006523 288000 576
11 3.316625 0.005214 288000 576
12 3.464102 0.007662 96000 576
13 3.605551 0.007383 288000 576
14 3.741657 0.005307 576000 576
16 4.000000 -0.002223 72000 576
17 4.123106 0.003160 576000 576
18 4.242641 0.004098 432000 576
19 4.358899 0.003204 288000 576
20 4.472136 0.004124 288000 576
21 4.582576 0.004383 576000 576
22 4.690416 0.003528 288000 576
24 4.898979 0.000326 288000 576
25 5.000000 0.001756 360000 576
26 5.099020 0.003287 864000 576
27 5.196152 0.004340 384000 576
29 5.385165 0.002335 864000 576
30 5.477226 0.004995 576000 576
32 5.656854 0.004286 144000 576
33 5.744563 0.003755 576000 576
34 5.830952 0.001602 576000 576
35 5.916080 0.001520 576000 576
36 6.000000 -0.000406 360000 576
37 6.082763 0.002559 288000 576
38 6.164414 0.001334 864000 576
40 6.324555 0.004110 288000 576
41 6.403124 0.002250 1152000 576
42 6.480741 0.000826 576000 576
43 6.557439 -0.001647 288000 576
44 6.633250 0.004138 288000 576
45 6.708204 0.000249 864000 576
46 6.782330 0.002374 576000 576
48 6.928203 -0.002602 96000 576
49 7.000000 0.001937 648000 576
50 7.071068 -0.002523 1008000 576
51 7.141428 0.000608 576000 576
52 7.211103 0.002490 288000 576
53 7.280110 0.002399 864000 576
54 7.348469 0.000944 1152000 576
56 7.483315 0.001046 576000 576
57 7.549834 -0.000463 576000 576
58 7.615773 0.002026 288000 576
59 7.681146 -0.000790 864000 576
61 7.810250 -0.001983 864000 576
62 7.874008 0.001634 1152000 576
64 8.000000 0.003773 72000 576
65 8.062258 0.002251 1152000 576
66 8.124038 0.000054 1152000 576
67 8.185353 -0.002285 288000 576
68 8.246211 -0.001775 576000 576
69 8.306624 -0.000553 1152000 576
70 8.366600 -0.000313 576000 576
72 8.485281 -0.000722 432000 576
73 8.544004 -0.000546 576000 576
74 8.602325 0.000083 1440000 576
75 8.660254 0.001647 672000 576
76 8.717798 0.000616 288000 576
77 8.774964 -0.001164 1152000 576
78 8.831761 -0.000287 576000 576
80 8.944272 0.001416 288000 576

Moves: 9000 CageStrain: 1.000000 T: 576 Landau: 0.000610
CageStrain: 1.000000 T: 320 DMAX: 9.343416 new_DMAX: 9.740943 variance: 10.835933 mean: -0.353001
CageStrain: 1.000000 T: 320 DMAX: 9.740943 new_DMAX: 9.740943 variance: 10.835933 mean: -0.353001
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 320
1 1.000000 0.557499 72000 320
2 1.414214 0.474158 144000 320
3 1.732051 0.438278 96000 320
4 2.000000 0.436111 72000 320
5 2.236068 0.413083 288000 320
6 2.449490 0.399020 288000 320
8 2.828427 0.384118 144000 320
9 3.000000 0.378797 360000 320
10 3.162278 0.378066 288000 320
11 3.316625 0.371689 288000 320
12 3.464102 0.362804 96000 320
13 3.605551 0.363907 288000 320
14 3.741657 0.359083 576000 320
16 4.000000 0.359546 72000 320
17 4.123106 0.352916 576000 320
18 4.242641 0.352015 432000 320
19 4.358899 0.349948 288000 320
20 4.472136 0.347888 288000 320
21 4.582576 0.344556 576000 320
22 4.690416 0.342285 288000 320
24 4.898979 0.340678 288000 320
25 5.000000 0.338530 360000 320
26 5.099020 0.337869 864000 320
27 5.196152 0.337120 384000 320
29 5.385165 0.333675 864000 320
30 5.477226 0.331863 576000 320
32 5.656854 0.331022 144000 320
33 5.744563 0.329884 576000 320
34 5.830952 0.327031 576000 320
35 5.916080 0.325742 576000 320
36 6.000000 0.326904 360000 320
37 6.082763 0.325179 288000 320
38 6.164414 0.324553 864000 320
40 6.324555 0.322596 288000 320
41 6.403124 0.321851 1152000 320
42 6.480741 0.320037 576000 320
43 6.557439 0.321275 288000 320
44 6.633250 0.318524 288000 320
45 6.708204 0.317440 864000 320
46 6.782330 0.317336 576000 320
48 6.928203 0.315539 96000 320
49 7.000000 0.313998 648000 320
50 7.071068 0.313825 1008000 320
51 7.141428 0.312696 576000 320
52 7.211103 0.311428 288000 320
53 7.280110 0.311607 864000 320
54 7.348469 0.310858 1152000 320
56 7.483315 0.308537 576000 320
57 7.549834 0.308457 576000 320
58 7.615773 0.307809 288000 320
59 7.681146 0.307808 864000 320
61 7.810250 0.305514 864000 320
62 7.874008 0.304807 1152000 320
64 8.000000 0.310469 72000 320
65 8.062258 0.303892 1152000 320
66 8.124038 0.303752 1152000 320
67 8.185353 0.302073 288000 320
68 8.246211 0.303213 576000 320
69 8.306624 0.303952 1152000 320
70 8.366600 0.298318 576000 320
72 8.485281 0.303230 432000 320
73 8.544004 0.300210 576000 320
74 8.602325 0.299500 1440000 320
75 8.660254 0.296806 672000 320
76 8.717798 0.294771 288000 320
77 8.774964 0.296689 1152000 320
78 8.831761 0.294918 576000 320
80 8.944272 0.298950 288000 320

Moves: 10000 CageStrain: 1.000000 T: 320 Landau: 0.288059
CageStrain: 1.000000 T: 832 DMAX: 9.740943 new_DMAX: 8.434937 variance: 8.501232 mean: 0.462642
CageStrain: 1.000000 T: 832 DMAX: 8.434937 new_DMAX: 8.434937 variance: 8.501232 mean: 0.462642
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 832
1 1.000000 0.129056 72000 832
2 1.414214 0.032695 144000 832
3 1.732051 0.011620 96000 832
4 2.000000 0.019726 72000 832
5 2.236068 0.007392 288000 832
6 2.449490 0.003032 288000 832
8 2.828427 0.000376 144000 832
9 3.000000 0.001244 360000 832
10 3.162278 0.001528 288000 832
11 3.316625 0.002678 288000 832
12 3.464102 0.003555 96000 832
13 3.605551 0.000890 288000 832
14 3.741657 0.001042 576000 832
16 4.000000 -0.004542 72000 832
17 4.123106 0.002108 576000 832
18 4.242641 0.001872 432000 832
19 4.358899 -0.000779 288000 832
20 4.472136 0.000303 288000 832
21 4.582576 0.000345 576000 832
22 4.690416 0.000918 288000 832
24 4.898979 0.001937 288000 832
25 5.000000 0.000090 360000 832
26 5.099020 -0.000700 864000 832
27 5.196152 -0.001489 384000 832
29 5.385165 0.000924 864000 832
30 5.477226 0.000338 576000 832
32 5.656854 -0.000984 144000 832
33 5.744563 0.000084 576000 832
34 5.830952 -0.000961 576000 832
35 5.916080 0.000757 576000 832
36 6.000000 -0.000706 360000 832
37 6.082763 -0.000326 288000 832
38 6.164414 0.000175 864000 832
40 6.324555 0.000651 288000 832
41 6.403124 -0.000100 1152000 832
42 6.480741 0.000962 576000 832
43 6.557439 -0.000630 288000 832
44 6.633250 -0.000862 288000 832
45 6.708204 -0.000286 864000 832
46 6.782330 0.001889 576000 832
48 6.928203 -0.001452 96000 832
49 7.000000 -0.000237 648000 832
50 7.071068 -0.000754 1008000 832
51 7.141428 -0.000291 576000 832
52 7.211103 0.001777 288000 832
53 7.280110 0.001733 864000 832
54 7.348469 0.000355 1152000 832
56 7.483315 0.000194 576000 832
57 7.549834 -0.002533 576000 832
58 7.615773 -0.001241 288000 832
59 7.681146 -0.002029 864000 832
61 7.810250 0.001003 864000 832
62 7.874008 -0.001553 1152000 832
64 8.000000 -0.004842 72000 832
65 8.062258 -0.000420 1152000 832
66 8.124038 -0.000884 1152000 832
67 8.185353 -0.003582 288000 832
68 8.246211 0.000000 576000 832
69 8.306624 -0.000824 1152000 832
70 8.366600 0.000828 576000 832
72 8.485281 0.000760 432000 832
73 8.544004 -0.001834 576000 832
74 8.602325 -0.001936 1440000 832
75 8.660254 -0.001851 672000 832
76 8.717798 -0.000729 288000 832
77 8.774964 -0.000514 1152000 832
78 8.831761 -0.002405 576000 832
80 8.944272 -0.000169 288000 832

Moves: 11000 CageStrain: 1.000000 T: 832 Landau: 0.000006
CageStrain: 1.000000 T: 192 DMAX: 8.434937 new_DMAX: 11.270551 variance: 13.360646 mean: -0.660960
CageStrain: 1.000000 T: 192 DMAX: 11.270551 new_DMAX: 11.270551 variance: 13.360646 mean: -0.660960
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 192
1 1.000000 0.748414 72000 192
2 1.414214 0.686806 144000 192
3 1.732051 0.653654 96000 192
4 2.000000 0.638468 72000 192
5 2.236068 0.613011 288000 192
6 2.449490 0.592733 288000 192
8 2.828427 0.560689 144000 192
9 3.000000 0.545337 360000 192
10 3.162278 0.533607 288000 192
11 3.316625 0.519496 288000 192
12 3.464102 0.503797 96000 192
13 3.605551 0.493579 288000 192
14 3.741657 0.481740 576000 192
16 4.000000 0.461633 72000 192
17 4.123106 0.449634 576000 192
18 4.242641 0.439553 432000 192
19 4.358899 0.428086 288000 192
20 4.472136 0.420153 288000 192
21 4.582576 0.410059 576000 192
22 4.690416 0.400224 288000 192
24 4.898979 0.383154 288000 192
25 5.000000 0.374179 360000 192
26 5.099020 0.365767 864000 192
27 5.196152 0.358888 384000 192
29 5.385165 0.342753 864000 192
30 5.477226 0.335558 576000 192
32 5.656854 0.318596 144000 192
33 5.744563 0.312375 576000 192
34 5.830952 0.306398 576000 192
35 5.916080 0.298901 576000 192
36 6.000000 0.292783 360000 192
37 6.082763 0.287524 288000 192
38 6.164414 0.280345 864000 192
40 6.324555 0.269345 288000 192
41 6.403124 0.261684 1152000 192
42 6.480741 0.253644 576000 192
43 6.557439 0.250476 288000 192
44 6.633250 0.245520 288000 192
45 6.708204 0.237415 864000 192
46 6.782330 0.232472 576000 192
48 6.928203 0.221084 96000 192
49 7.000000 0.217137 648000 192
50 7.071068 0.211949 1008000 192
51 7.141428 0.206827 576000 192
52 7.211103 0.200780 288000 192
53 7.280110 0.196768 864000 192
54 7.348469 0.193448 1152000 192
56 7.483315 0.182739 576000 192
57 7.549834 0.180133 576000 192
58 7.615773 0.175497 288000 192
59 7.681146 0.170828 864000 192
61 7.810250 0.161277 864000 192
62 7.874008 0.157637 1152000 192
64 8.000000 0.153529 72000 192
65 8.062258 0.146579 1152000 192
66 8.124038 0.143554 1152000 192
67 8.185353 0.140306 288000 192
68 8.246211 0.138091 576000 192
69 8.306624 0.133959 1152000 192
70 8.366600 0.128046 576000 192
72 8.485281 0.123369 432000 192
73 8.544004 0.118436 576000 192
74 8.602325 0.116579 1440000 192
75 8.660254 0.110538 672000 192
76 8.717798 0.107388 288000 192
77 8.774964 0.108248 1152000 192
78 8.831761 0.102067 576000 192
80 8.944272 0.098522 288000 192

Moves: 12000 CageStrain: 1.000000 T: 192 Landau: 0.066712
CageStrain: 1.000000 T: 704 DMAX: 11.270551 new_DMAX: 7.813896 variance: 7.543800 mean: 0.018360
CageStrain: 1.000000 T: 704 DMAX: 7.813896 new_DMAX: 7.813896 variance: 7.543800 mean: 0.018360
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 704
1 1.000000 0.155071 72000 704
2 1.414214 0.044043 144000 704
3 1.732051 0.016176 96000 704
4 2.000000 0.023134 72000 704
5 2.236068 0.008784 288000 704
6 2.449490 0.004641 288000 704
8 2.828427 -0.001234 144000 704
9 3.000000 0.001302 360000 704
10 3.162278 0.002854 288000 704
11 3.316625 0.003383 288000 704
12 3.464102 -0.006326 96000 704
13 3.605551 0.000596 288000 704
14 3.741657 0.000797 576000 704
16 4.000000 0.006134 72000 704
17 4.123106 0.001621 576000 704
18 4.242641 -0.002725 432000 704
19 4.358899 -0.001957 288000 704
20 4.472136 0.001302 288000 704
21 4.582576 0.003359 576000 704
22 4.690416 0.002249 288000 704
24 4.898979 0.001931 288000 704
25 5.000000 0.000531 360000 704
26 5.099020 0.001149 864000 704
27 5.196152 0.000564 384000 704
29 5.385165 0.001471 864000 704
30 5.477226 0.002491 576000 704
32 5.656854 -0.000424 144000 704
33 5.744563 0.000258 576000 704
34 5.830952 0.001802 576000 704
35 5.916080 0.001459 576000 704
36 6.000000 0.001152 360000 704
37 6.082763 0.001229 288000 704
38 6.164414 0.001249 864000 704
40 6.324555 0.001247 288000 704
41 6.403124 0.000850 1152000 704
42 6.480741 -0.000338 576000 704
43 6.557439 0.005130 288000 704
44 6.633250 0.000726 288000 704
45 6.708204 0.000657 864000 704
46 6.782330 0.000517 576000 704
48 6.928203 0.001852 96000 704
49 7.000000 -0.002013 648000 704
50 7.071068 0.000497 1008000 704
51 7.141428 0.001054 576000 704
52 7.211103 -0.000543 288000 704
53 7.280110 0.002132 864000 704
54 7.348469 0.002106 1152000 704
56 7.483315 -0.000059 576000 704
57 7.549834 0.002541 576000 704
58 7.615773 0.004562 288000 704
59 7.681146 0.001064 864000 704
61 7.810250 -0.000223 864000 704
62 7.874008 0.000066 1152000 704
64 8.000000 -0.004734 72000 704
65 8.062258 0.000166 1152000 704
66 8.124038 0.000336 1152000 704
67 8.185353 0.000637 288000 704
68 8.246211 0.001364 576000 704
69 8.306624 0.001679 1152000 704
70 8.366600 -0.001828 576000 704
72 8.485281 0.001068 432000 704
73 8.544004 0.002306 576000 704
74 8.602325 0.000355 1440000 704
75 8.660254 0.000439 672000 704
76 8.717798 -0.000986 288000 704
77 8.774964 -0.000711 1152000 704
78 8.831761 0.000695 576000 704
80 8.944272 0.000749 288000 704

Moves: 13000 CageStrain: 1.000000 T: 704 Landau: 0.000833
CageStrain: 1.000000 T: 448 DMAX: 7.813896 new_DMAX: 10.953484 variance: 17.246679 mean: -0.736094
CageStrain: 1.000000 T: 448 DMAX: 10.953484 new_DMAX: 10.953484 variance: 17.246679 mean: -0.736094
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 448
1 1.000000 0.291355 72000 448
2 1.414214 0.154086 144000 448
3 1.732051 0.100533 96000 448
4 2.000000 0.105826 72000 448
5 2.236068 0.070026 288000 448
6 2.449490 0.050412 288000 448
8 2.828427 0.036062 144000 448
9 3.000000 0.032441 360000 448
10 3.162278 0.034552 288000 448
11 3.316625 0.027661 288000 448
12 3.464102 0.019456 96000 448
13 3.605551 0.016124 288000 448
14 3.741657 0.015785 576000 448
16 4.000000 0.017508 72000 448
17 4.123106 0.013076 576000 448
18 4.242641 0.010650 432000 448
19 4.358899 0.009712 288000 448
20 4.472136 0.005322 288000 448
21 4.582576 0.007337 576000 448
22 4.690416 0.005141 288000 448
24 4.898979 0.004775 288000 448
25 5.000000 0.003738 360000 448
26 5.099020 0.004426 864000 448
27 5.196152 0.002890 384000 448
29 5.385165 0.001461 864000 448
30 5.477226 0.002151 576000 448
32 5.656854 0.004151 144000 448
33 5.744563 0.002808 576000 448
34 5.830952 0.000492 576000 448
35 5.916080 0.001057 576000 448
36 6.000000 0.000465 360000 448
37 6.082763 -0.001576 288000 448
38 6.164414 0.000316 864000 448
40 6.324555 -0.001159 288000 448
41 6.403124 0.000269 1152000 448
42 6.480741 -0.001428 576000 448
43 6.557439 -0.000877 288000 448
44 6.633250 0.000317 288000 448
45 6.708204 -0.002866 864000 448
46 6.782330 -0.000579 576000 448
48 6.928203 0.001685 96000 448
49 7.000000 -0.001568 648000 448
50 7.071068 -0.002339 1008000 448
51 7.141428 -0.004708 576000 448
52 7.211103 -0.001905 288000 448
53 7.280110 -0.003194 864000 448
54 7.348469 -0.002606 1152000 448
56 7.483315 -0.003915 576000 448
57 7.549834 0.000160 576000 448
58 7.615773 -0.001791 288000 448
59 7.681146 -0.000735 864000 448
61 7.810250 -0.003876 864000 448
62 7.874008 -0.003419 1152000 448
64 8.000000 -0.009622 72000 448
65 8.062258 -0.004693 1152000 448
66 8.124038 -0.003085 1152000 448
67 8.185353 -0.001778 288000 448
68 8.246211 -0.002177 576000 448
69 8.306624 -0.002491 1152000 448
70 8.366600 -0.000945 576000 448
72 8.485281 -0.002579 432000 448
73 8.544004 -0.002930 576000 448
74 8.602325 -0.001683 1440000 448
75 8.660254 -0.004333 672000 448
76 8.717798 -0.004036 288000 448
77 8.774964 -0.000720 1152000 448
78 8.831761 -0.002819 576000 448
80 8.944272 -0.001318 288000 448

Moves: 14000 CageStrain: 1.000000 T: 448 Landau: 0.001145
CageStrain: 1.000000 T: 960 DMAX: 10.953484 new_DMAX: 6.823349 variance: 5.150137 mean: 0.544307
CageStrain: 1.000000 T: 960 DMAX: 6.823349 new_DMAX: 6.823349 variance: 5.150137 mean: 0.544307
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 960
1 1.000000 0.112373 72000 960
2 1.414214 0.028558 144000 960
3 1.732051 0.009730 96000 960
4 2.000000 0.015622 72000 960
5 2.236068 0.004342 288000 960
6 2.449490 0.001224 288000 960
8 2.828427 0.000736 144000 960
9 3.000000 -0.000898 360000 960
10 3.162278 -0.000077 288000 960
11 3.316625 -0.000936 288000 960
12 3.464102 -0.002513 96000 960
13 3.605551 -0.000932 288000 960
14 3.741657 -0.001906 576000 960
16 4.000000 -0.002817 72000 960
17 4.123106 -0.000466 576000 960
18 4.242641 -0.000844 432000 960
19 4.358899 -0.000535 288000 960
20 4.472136 -0.001544 288000 960
21 4.582576 -0.001399 576000 960
22 4.690416 0.000513 288000 960
24 4.898979 -0.000748 288000 960
25 5.000000 0.000117 360000 960
26 5.099020 -0.001554 864000 960
27 5.196152 -0.002303 384000 960
29 5.385165 0.001510 864000 960
30 5.477226 -0.000040 576000 960
32 5.656854 -0.001484 144000 960
33 5.744563 -0.000935 576000 960
34 5.830952 0.001444 576000 960
35 5.916080 -0.001515 576000 960
36 6.000000 -0.000030 360000 960
37 6.082763 -0.007276 288000 960
38 6.164414 -0.001844 864000 960
40 6.324555 -0.001543 288000 960
41 6.403124 0.000308 1152000 960
42 6.480741 -0.000615 576000 960
43 6.557439 -0.000306 288000 960
44 6.633250 -0.000138 288000 960
45 6.708204 0.000861 864000 960
46 6.782330 -0.000893 576000 960
48 6.928203 0.003785 96000 960
49 7.000000 -0.000818 648000 960
50 7.071068 -0.000365 1008000 960
51 7.141428 -0.001675 576000 960
52 7.211103 0.001569 288000 960
53 7.280110 -0.001022 864000 960
54 7.348469 -0.001200 1152000 960
56 7.483315 0.000001 576000 960
57 7.549834 0.002164 576000 960
58 7.615773 -0.000675 288000 960
59 7.681146 0.001198 864000 960
61 7.810250 -0.000304 864000 960
62 7.874008 0.000206 1152000 960
64 8.000000 -0.002680 72000 960
65 8.062258 0.000632 1152000 960
66 8.124038 0.000879 1152000 960
67 8.185353 -0.000160 288000 960
68 8.246211 -0.000567 576000 960
69 8.306624 0.000757 1152000 960
70 8.366600 -0.000931 576000 960
72 8.485281 0.000147 432000 960
73 8.544004 0.000569 576000 960
74 8.602325 0.000114 1440000 960
75 8.660254 0.001176 672000 960
76 8.717798 0.002476 288000 960
77 8.774964 -0.000247 1152000 960
78 8.831761 -0.000065 576000 960
80 8.944272 -0.001384 288000 960

Moves: 15000 CageStrain: 1.000000 T: 960 Landau: 0.000045
CageStrain: 1.000000 T: 32 DMAX: 6.823349 new_DMAX: 12.797427 variance: 35.306896 mean: -0.492880
CageStrain: 1.000000 T: 32 DMAX: 12.797427 new_DMAX: 12.797427 variance: 35.306896 mean: -0.492880
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 32
1 1.000000 0.912349 72000 32
2 1.414214 0.860587 144000 32
3 1.732051 0.816794 96000 32
4 2.000000 0.781850 72000 32
5 2.236068 0.744566 288000 32
6 2.449490 0.710300 288000 32
8 2.828427 0.650644 144000 32
9 3.000000 0.623434 360000 32
10 3.162278 0.599768 288000 32
11 3.316625 0.574538 288000 32
12 3.464102 0.548742 96000 32
13 3.605551 0.529076 288000 32
14 3.741657 0.507771 576000 32
16 4.000000 0.474646 72000 32
17 4.123106 0.453528 576000 32
18 4.242641 0.437116 432000 32
19 4.358899 0.418707 288000 32
20 4.472136 0.405957 288000 32
21 4.582576 0.390840 576000 32
22 4.690416 0.374824 288000 32
24 4.898979 0.350404 288000 32
25 5.000000 0.339274 360000 32
26 5.099020 0.328324 864000 32
27 5.196152 0.319092 384000 32
29 5.385165 0.296050 864000 32
30 5.477226 0.288555 576000 32
32 5.656854 0.266205 144000 32
33 5.744563 0.259559 576000 32
34 5.830952 0.251288 576000 32
35 5.916080 0.244016 576000 32
36 6.000000 0.237068 360000 32
37 6.082763 0.236168 288000 32
38 6.164414 0.224762 864000 32
40 6.324555 0.214293 288000 32
41 6.403124 0.205093 1152000 32
42 6.480741 0.196020 576000 32
43 6.557439 0.192167 288000 32
44 6.633250 0.190316 288000 32
45 6.708204 0.181632 864000 32
46 6.782330 0.178372 576000 32
48 6.928203 0.167185 96000 32
49 7.000000 0.165436 648000 32
50 7.071068 0.160253 1008000 32
51 7.141428 0.156714 576000 32
52 7.211103 0.149012 288000 32
53 7.280110 0.148038 864000 32
54 7.348469 0.145902 1152000 32
56 7.483315 0.135888 576000 32
57 7.549834 0.135391 576000 32
58 7.615773 0.132690 288000 32
59 7.681146 0.128484 864000 32
61 7.810250 0.119607 864000 32
62 7.874008 0.117827 1152000 32
64 8.000000 0.121598 72000 32
65 8.062258 0.111262 1152000 32
66 8.124038 0.109938 1152000 32
67 8.185353 0.107631 288000 32
68 8.246211 0.107002 576000 32
69 8.306624 0.104703 1152000 32
70 8.366600 0.098225 576000 32
72 8.485281 0.097050 432000 32
73 8.544004 0.092833 576000 32
74 8.602325 0.092455 1440000 32
75 8.660254 0.087114 672000 32
76 8.717798 0.084551 288000 32
77 8.774964 0.087941 1152000 32
78 8.831761 0.082641 576000 32
80 8.944272 0.082079 288000 32

Moves: 16000 CageStrain: 1.000000 T: 32 Landau: 0.059337
CageStrain: 1.000000 T: 544 DMAX: 12.797427 new_DMAX: 11.898114 variance: 16.983538 mean: 0.834840
CageStrain: 1.000000 T: 544 DMAX: 11.898114 new_DMAX: 11.898114 variance: 16.983538 mean: 0.834840
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 544
1 1.000000 0.216464 72000 544
2 1.414214 0.087561 144000 544
3 1.732051 0.044784 96000 544
4 2.000000 0.055308 72000 544
5 2.236068 0.029728 288000 544
6 2.449490 0.017368 288000 544
8 2.828427 0.012502 144000 544
9 3.000000 0.011796 360000 544
10 3.162278 0.013539 288000 544
11 3.316625 0.009315 288000 544
12 3.464102 0.010242 96000 544
13 3.605551 0.008728 288000 544
14 3.741657 0.005949 576000 544
16 4.000000 0.014511 72000 544
17 4.123106 0.007508 576000 544
18 4.242641 0.004048 432000 544
19 4.358899 0.004046 288000 544
20 4.472136 0.005539 288000 544
21 4.582576 0.003471 576000 544
22 4.690416 0.003972 288000 544
24 4.898979 0.001917 288000 544
25 5.000000 0.006177 360000 544
26 5.099020 0.003744 864000 544
27 5.196152 0.003913 384000 544
29 5.385165 0.002785 864000 544
30 5.477226 0.001088 576000 544
32 5.656854 0.002600 144000 544
33 5.744563 0.001352 576000 544
34 5.830952 0.003320 576000 544
35 5.916080 0.001442 576000 544
36 6.000000 0.003516 360000 544
37 6.082763 0.003562 288000 544
38 6.164414 0.001731 864000 544
40 6.324555 0.004241 288000 544
41 6.403124 0.002112 1152000 544
42 6.480741 0.001110 576000 544
43 6.557439 0.002135 288000 544
44 6.633250 0.002410 288000 544
45 6.708204 0.001612 864000 544
46 6.782330 0.002309 576000 544
48 6.928203 -0.001521 96000 544
49 7.000000 0.002669 648000 544
50 7.071068 0.001498 1008000 544
51 7.141428 -0.000663 576000 544
52 7.211103 -0.001077 288000 544
53 7.280110 0.000086 864000 544
54 7.348469 -0.000248 1152000 544
56 7.483315 0.000711 576000 544
57 7.549834 0.000175 576000 544
58 7.615773 -0.000530 288000 544
59 7.681146 -0.000951 864000 544
61 7.810250 -0.000217 864000 544
62 7.874008 -0.001040 1152000 544
64 8.000000 0.004352 72000 544
65 8.062258 -0.000170 1152000 544
66 8.124038 -0.001443 1152000 544
67 8.185353 -0.000768 288000 544
68 8.246211 -0.000709 576000 544
69 8.306624 -0.001501 1152000 544
70 8.366600 0.000006 576000 544
72 8.485281 -0.000033 432000 544
73 8.544004 -0.002614 576000 544
74 8.602325 -0.001718 1440000 544
75 8.660254 -0.001243 672000 544
76 8.717798 0.000124 288000 544
77 8.774964 -0.000001 1152000 544
78 8.831761 -0.000508 576000 544
80 8.944272 -0.002364 288000 544

Moves: 17000 CageStrain: 1.000000 T: 544 Landau: 0.000125
CageStrain: 1.000000 T: 288 DMAX: 11.898114 new_DMAX: 12.691266 variance: 19.901369 mean: -1.577533
CageStrain: 1.000000 T: 288 DMAX: 12.691266 new_DMAX: 12.691266 variance: 19.901369 mean: -1.577533
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 288
1 1.000000 0.615409 72000 288
2 1.414214 0.543413 144000 288
3 1.732051 0.512945 96000 288
4 2.000000 0.508494 72000 288
5 2.236068 0.486590 288000 288
6 2.449490 0.474149 288000 288
8 2.828427 0.459593 144000 288
9 3.000000 0.453176 360000 288
10 3.162278 0.450555 288000 288
11 3.316625 0.444803 288000 288
12 3.464102 0.437476 96000 288
13 3.605551 0.435951 288000 288
14 3.741657 0.432391 576000 288
16 4.000000 0.427158 72000 288
17 4.123106 0.423743 576000 288
18 4.242641 0.421546 432000 288
19 4.358899 0.418159 288000 288
20 4.472136 0.416442 288000 288
21 4.582576 0.414195 576000 288
22 4.690416 0.411944 288000 288
24 4.898979 0.408148 288000 288
25 5.000000 0.405770 360000 288
26 5.099020 0.403982 864000 288
27 5.196152 0.403797 384000 288
29 5.385165 0.399189 864000 288
30 5.477226 0.398368 576000 288
32 5.656854 0.392810 144000 288
33 5.744563 0.392569 576000 288
34 5.830952 0.391358 576000 288
35 5.916080 0.390241 576000 288
36 6.000000 0.389861 360000 288
37 6.082763 0.392677 288000 288
38 6.164414 0.388175 864000 288
40 6.324555 0.387176 288000 288
41 6.403124 0.382686 1152000 288
42 6.480741 0.380575 576000 288
43 6.557439 0.381928 288000 288
44 6.633250 0.381470 288000 288
45 6.708204 0.378388 864000 288
46 6.782330 0.379009 576000 288
48 6.928203 0.374023 96000 288
49 7.000000 0.376692 648000 288
50 7.071068 0.375032 1008000 288
51 7.141428 0.374615 576000 288
52 7.211103 0.369112 288000 288
53 7.280110 0.371936 864000 288
54 7.348469 0.372766 1152000 288
56 7.483315 0.366683 576000 288
57 7.549834 0.369807 576000 288
58 7.615773 0.371004 288000 288
59 7.681146 0.368584 864000 288
61 7.810250 0.361638 864000 288
62 7.874008 0.363221 1152000 288
64 8.000000 0.372420 72000 288
65 8.062258 0.361813 1152000 288
66 8.124038 0.362301 1152000 288
67 8.185353 0.363586 288000 288
68 8.246211 0.363245 576000 288
69 8.306624 0.362462 1152000 288
70 8.366600 0.354645 576000 288
72 8.485281 0.358857 432000 288
73 8.544004 0.355468 576000 288
74 8.602325 0.356601 1440000 288
75 8.660254 0.350524 672000 288
76 8.717798 0.348237 288000 288
77 8.774964 0.354304 1152000 288
78 8.831761 0.348607 576000 288
80 8.944272 0.351971 288000 288

Moves: 18000 CageStrain: 1.000000 T: 288 Landau: 0.306743
CageStrain: 1.000000 T: 800 DMAX: 12.691266 new_DMAX: 8.958704 variance: 5.479180 mean: -0.192879
CageStrain: 1.000000 T: 800 DMAX: 8.958704 new_DMAX: 8.958704 variance: 5.479180 mean: -0.192879
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 800
1 1.000000 0.130593 72000 800
2 1.414214 0.034492 144000 800
3 1.732051 0.009430 96000 800
4 2.000000 0.023312 72000 800
5 2.236068 0.007325 288000 800
